RATING,TITLE,CREDIT,BOXOFFICE,YEAR
46,Red Sparrow,Dominika Egorova,17.1,2018
69,mother!,Mother,17.3,2017
31,Passengers,Aurora Lane,100.1,2016
47,X-Men: Apocalypse,Raven/Mystique,135.8,2016
100,A Beautiful Planet,Actor,7.5,2016
60,Joy,Joy,42.6,2015
70,The Hunger Games: Mockingjay - Part 2,Katniss Everdeen,254.7,2015
68,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen,295.5,2014
90,X-Men: Days of Future Past,Mystique/Raven,199.4,2014
92,American Hustle,Rosalyn Rosenfeld,99.2,2013
89,The Hunger Games: Catching Fire,Katniss Everdeen,336.7,2013
92,Silver Linings Playbook,Tiffany,132.1,2012
11,House at the End of the Street,Elissa,31.7,2012
84,The Hunger Games,Katniss Everdeen,408,2012
71,Like Crazy,Sam,3.4,2011
86,X-Men: First Class,Raven Darkholme/Mystique,145.4,2011
61,The Beaver,Norah,1,2011
94,Winter's Bone,Ree Dolly,6.3,2010
